ABBREVIATION,STATE,ABBREVIATION,COMPLAINS COUNTS,STATE_OR_REGION,POPULATION,per_capita
AL,Alabama,AL,3842,Alabama,4779736,8.038100849084552
AK,Alaska,AK,478,Alaska,710231,6.73020467988584
AZ,Arizona,AZ,8678,Arizona,6392017,13.576309324584086
AR,Arkansas,AR,1670,Arkansas,2915918,5.7271843721256905
CA,California,CA,58603,California,37253956,15.730678374130253
CO,Colorado,CO,6792,Colorado,5029196,13.50514078194606
CT,Connecticut,CT,4758,Connecticut,3574097,13.312453467267396
DE,Delaware,DE,2105,Delaware,897934,23.442702915804503
FL,Florida,FL,38037,Florida,18801310,20.23103709262812
GA,Georgia,GA,17085,Georgia,9687653,17.63585049959985
HI,Hawaii,HI,1434,Hawaii,1360301,10.54178450210652
ID,Idaho,ID,1308,Idaho,1567582,8.34406110812704
IL,Illinois,IL,13808,Illinois,12830632,10.76174579708934
IN,Indiana,IN,4291,Indiana,6483802,6.6180305937781565
IA,Iowa,IA,1610,Iowa,3046355,5.285004538210418
KS,Kansas,KS,1907,Kansas,2853118,6.683915631950729
KY,Kentucky,KY,2773,Kentucky,4339367,6.390332967919053
LA,Louisiana,LA,3687,Louisiana,4533372,8.133018865427324
ME,Maine,ME,1402,Maine,1328361,10.554359846457402
MD,Maryland,MD,12720,Maryland,5773552,22.031498114159188
MA,Massachusetts,MA,8070,Massachusetts,6547629,12.325072174981203
MI,Michigan,MI,10779,Michigan,9883640,10.905901064789894
MN,Minnesota,MN,4567,Minnesota,5303925,8.610604410884392
MS,Mississippi,MS,1755,Mississippi,2967297,5.914473677559071
MO,Missouri,MO,5203,Missouri,5988927,8.687699816678347
MT,Montana,MT,655,Montana,989415,6.620073477762112
NE,Nebraska,NE,1255,Nebraska,1826341,6.871663068397413
NV,Nevada,NV,4558,Nevada,2700551,16.878037111685725
NH,New Hampshire,NH,2200,New Hampshire,1316470,16.711356886218447
NJ,New Jersey,NJ,16113,New Jersey,8791894,18.327109039303703
NM,New Mexico,NM,1907,New Mexico,2059179,9.26097245552718
NY,New York,NY,27034,New York,19378102,13.95079869019164
NC,North Carolina,NC,10871,North Carolina,9535483,11.400576142813112
ND,North Dakota,ND,324,North Dakota,672591,4.817192023086839
OH,Ohio,OH,12323,Ohio,11536504,10.681745527067818
OK,Oklahoma,OK,2564,Oklahoma,3751351,6.834870957156502
OR,Oregon,OR,4662,Oregon,3831074,12.168911380986115
PA,Pennsylvania,PA,14188,Pennsylvania,12702379,11.16956122943584
RI,Rhode Island,RI,1427,Rhode Island,1052567,13.55733174230239
SC,South Carolina,SC,4755,South Carolina,4625364,10.280271995890486
SD,South Dakota,SD,543,South Dakota,814180,6.669286889876932
TN,Tennessee,TN,5790,Tennessee,6346105,9.1237065885295
TX,Texas,TX,28764,Texas,25145561,11.43899712557616
UT,Utah,UT,2086,Utah,2763885,7.547347302800225
VT,Vermont,VT,705,Vermont,625741,11.266642268925962
VA,Virginia,VA,12736,Virginia,8001024,15.917962500799897
WA,Washington,WA,8064,Washington,6724540,11.99189833059213
WV,West Virginia,WV,997,West Virginia,1852994,5.380481534208961
WI,Wisconsin,WI,4473,Wisconsin,5686986,7.865326202666931
WY,Wyoming,WY,403,Wyoming,563626,7.15013147015929
PR,Puerto Rico,PR,831,Puerto Rico,3725789,2.230400057544858
